Species,Latitude,Longitude,Locality
Naesiotus ochsneri,-0.760764163,-90.37222163,SC18-35
Naesiotus ochsneri,-0.759148216,-90.37204888,SC18-36 N=26
Naesiotus reibischii,-0.756954,-90.315603,SC 14 04
Naesiotus wolfi 1,-0.756954,-90.315603,SC 14 04
Naesiotus n.sp.SC-2,-0.75507964,-90.37291506,SC18-40
Naesiotus ochsneri,-0.75507964,-90.37291506,SC18-40 n=13
Naesiotus n.sp.SC-2,-0.7515833,-90.37542,SC18-41 N=1
Naesiotus reibischii,-0.751514,-90.311954,SC 15 punta estrada
Naesiotus wolfi 1,-0.751514,-90.311954,SC 15 punta estrada
Naesiotus reibischii,-0.751462,-90.324072,SC 15 Tortuga Bay Tr1
Naesiotus wolfi 1,-0.751462,-90.324072,SC 15 Tortuga Bay Tr1
Naesiotus reibischii,-0.751071,-90.323845,SC Tortuga feb 23 2001
Naesiotus wolfi,-0.751071,-90.323845,SC Tortuga feb 23 2001
Naesiotus n.sp.SC-3,-0.75068308,-90.37971111,SC18-42 N=24
Naesiotus wolfi 3,-0.75068308,-90.37971111,SC18-42 N=24
Naesiotus ochsneri,-0.74652683,-90.38149285,SC18-43 n=43
Naesiotus reibischii,-0.746475,-90.319706,2/2 SC00-6
Naesiotus wolfi 1,-0.746475,-90.319706,1/2 SC00-6
Naesiotus wolfi 1,-0.745736,-90.343558,SC 14 H2O tank road
Naesiotus ochsneri,-0.74564958,-90.38280906,SC18-37
Naesiotus n.sp.SC-3,-0.744514251,-90.38302448,SC18-39
Naesiotus ochsneri,-0.744514251,-90.38302448,SC18-39
Naesiotus reibischii,-0.744514251,-90.38302448,SC18-39
Naesiotus cf. ochsneri,-0.743399458,-90.38336369,SC18-38 n=49
Naesiotus n.sp.SC-2,-0.741929,-90.308661,SC path going to PNG
Naesiotus wolfi 1,-0.741929,-90.308661,SC path going to PNG
Naesiotus wolfi,-0.739356028,-90.38097401,SC18-44 slope N=49
Naesiotus wolfi 3,-0.739356028,-90.38097401,SC18-44 Top N=35
Naesiotus wolfi,-0.739100548,-90.38094878,SC15 13 1 01
Naesiotus cf. ochsneri,-0.7391,-90.38095,SC15-13
Naesiotus reibischii,-0.7378,-90.301397,SC Barranco
Naesiotus wolfi 1,-0.7378,-90.301397,SC Barranco
Naesiotus reibischii,-0.7326333,-90.3127333,SC 15 Urban Snail
Naesiotus wolfi,-0.7326333,-90.3127333,SC Waterfall 8/11
Naesiotus wolfi 1,-0.7326333,-90.3127333,SC 15 Urban Snail
Naesiotus wolfi 1,-0.732625611,-90.31273711,CASCADA SC 
Naesiotus wolfi 1,-0.731985737,-90.32854898,SC 00 9
Naesiotus wolfi 1,-0.73195,-90.32863,SC14 03 18 xray
Naesiotus hirsutus,-0.731949946,-90.32863523,SC 14 03
Naesiotus wolfi,-0.731949946,-90.32863523,SC14 03-01
Naesiotus wolfi 1,-0.731949946,-90.32863523,SC 14 03
Naesiotus cf. ochsneri,-0.7279333,-90.32798,SC 01 10
Naesiotus n.sp.SC-1,-0.7279333,-90.32798,SC 01 10
Naesiotus wolfi 1,-0.7279333,-90.32798,SC 01 10
Naesiotus ochsneri,-0.727120629,-90.42506911,SC18-32 N=67
Naesiotus reibischii,-0.727120629,-90.42506911,SC18-32
Naesiotus cf. ochsneri,-0.727120629,-90.42506911,SC18-32
Naesiotus wolfi 2,-0.727120629,-90.42506911,SC18-32
Naesiotus cf. ochsneri,-0.7252,-90.3740833,SC15-12
Naesiotus cf. ochsneri,-0.722272033,-90.36957697,SC19-07 N=6
Naesiotus n.sp.SC-3,-0.722272033,-90.36957697,SC19-07 N=6
Naesiotus wolfi 3,-0.722272033,-90.36957697,SC19-07 N=6
Naesiotus ochsneri,-0.722272033,-90.36957697,SC19-07
Naesiotus n.sp.SC-2,-0.7213667,-90.32652,SC 01 11
Naesiotus wolfi 1,-0.7213667,-90.32652,SC 01 11
Naesiotus lycodus,-0.720102964,-90.36536498,SC19-06 n=26
Naesiotus eos,-0.71585,-90.3617667,SC15-11
Naesiotus lycodus,-0.71585,-90.3617667,SC15-11
Naesiotus ochsneri,-0.71585,-90.3617667,SC15-11
Naesiotus alethorhytidus,-0.71155,-90.46068,SC 14 17
Naesiotus cavagnaroi,-0.71155,-90.46068,SC 14 17
Naesiotus eos,-0.71155,-90.46068,SC 14 17
Naesiotus hirsutus,-0.71155,-90.46068,SC 14 17
Naesiotus ochsneri,-0.71155,-90.46068,SC 14 17
Naesiotus reibischii,-0.71155,-90.46068,SC 14 17
Naesiotus wolfi 2,-0.71155,-90.46068,SC 14 17
Naesiotus lycodus,-0.710277,-90.319088,SC 15 26 Behind Tomas de Berlanga
Naesiotus ochsneri,-0.710277,-90.319088,SC 15 26 Behind Tomas de Berlanga
Naesiotus cf. ochsneri,-0.7102,-90.4275333,SC 15 La Caseta
Naesiotus eos,-0.7102,-90.4275333,SC 15 La Caseta
Naesiotus lycodus,-0.7102,-90.4275333,SC 15 La Caseta
Naesiotus ochsneri,-0.7102,-90.4275333,SC 15 La Caseta
Naesiotus cf. ochsneri,-0.70910641,-90.45877224,SC 14 16
Naesiotus hirsutus,-0.70910641,-90.45877224,SC 14 16
Naesiotus reibischii,-0.70910641,-90.45877224,SC 14 16
Naesiotus ochsneri,-0.7091,-90.45877,SC14 16 1 01 xray
Naesiotus n.sp.SC-2,-0.704825,-90.45831,SC 14 n of 16
Naesiotus ochsneri,-0.704825,-90.45831,SC 14 n of 16
Naesiotus reibischii,-0.704825,-90.45831,SC 14 n of 16
Naesiotus cf. ochsneri,-0.7015167,-90.45605,SC2T21H6
Naesiotus n.sp.SC-3,-0.7015167,-90.45605,SC2T21H6
Naesiotus ochsneri,-0.7015167,-90.45605,SC2T21H6
Naesiotus cf. ochsneri,-0.701014688,-90.45584025,SC2E20
Naesiotus reibischii,-0.701014688,-90.45584025,SC2E20
Naesiotus eos,-0.7006333,-90.45587,SC 2T20 816 shells
Naesiotus n.sp. Yannickus,-0.7006333,-90.45587,SC 2T20 816 shells
Naesiotus wolfi 2,-0.7006333,-90.45587,SC 2T20 816 shells
Naesiotus akamatus,-0.700633144,-90.45586087,SC15-C-T20-2-2
Naesiotus kublerensis,-0.700633144,-90.45586087,SC15-C-T20-3-1
Naesiotus wolfi,-0.700633144,-90.45586087,SC15-C-T20-4-1
Naesiotus cf. ochsneri,-0.700633144,-90.45586087,SC2T20
Naesiotus n.sp.SC-3,-0.700633144,-90.45586087,SC2T20
Naesiotus ochsneri,-0.700633144,-90.45586087,SC2T20
Naesiotus eos,-0.7003667,-90.45608,SC 14 18
Naesiotus lycodus,-0.7003667,-90.45608,SC 14 18
Naesiotus n.sp.SC-2,-0.7003667,-90.45608,SC 14 18
Naesiotus wolfi,-0.7003667,-90.45608,SC 14 18
Naesiotus cf. ochsneri,-0.699108727,-90.45676368,SC2T18
Naesiotus n.sp.SC-3,-0.699108727,-90.45676368,SC2T18
Naesiotus ochsneri,-0.698675634,-90.45664164,SC2E17
Naesiotus wolfi 2,-0.698675634,-90.45664164,SC2E17
Naesiotus n.sp.SC-3,-0.698256791,-90.45640024,SC2T17H5
Naesiotus ochsneri,-0.698256791,-90.45640024,SC2T17H5
Naesiotus wolfi 2,-0.698256791,-90.45640024,SC2T17H5
Naesiotus kublerensis,-0.698057134,-90.4562202,SC14 15 1 01
