Species,Latitude,Longitude
S08,-0.71155,-90.46068
S01,-0.71155,-90.46068
S07,-0.71155,-90.46068
S16,-0.71155,-90.46068
S02,-0.71155,-90.46068
S03,-0.71155,-90.46068
S03,-0.70910641,-90.45877224
S02,-0.70910641,-90.45877224
S04,-0.70910641,-90.45877224
S07,-0.7091,-90.45877
S07,-0.7091,-90.45877
S07,-0.7091,-90.45877
S07,-0.7091,-90.45877
S07,-0.7091,-90.45877
S04,-0.6163667,-90.4584667
S03,-0.6163667,-90.4584667
S02,-0.6163667,-90.4584667
S03,-0.704825,-90.45831
S07,-0.704825,-90.45831
S12,-0.704825,-90.45831
S07,-0.704825,-90.45831
S07,-0.704825,-90.45831
S07,-0.704825,-90.45831
S07,-0.704825,-90.45831
S07,-0.704825,-90.45831
S07,-0.704825,-90.45831
S07,-0.704825,-90.45831
S07,-0.704825,-90.45831
S07,-0.704825,-90.45831
S07,-0.704825,-90.45831
S07,-0.704825,-90.45831
S07,-0.704825,-90.45831
S04,-0.6186,-90.4569833
S07,-0.6186,-90.4569833
S04,-0.6186,-90.45698
S04,-0.6186,-90.45698
S04,-0.6186,-90.45698
S04,-0.6186,-90.45698
S04,-0.6186,-90.45698
S04,-0.6186,-90.45698
S04,-0.6186,-90.45698
S01,-0.698057134,-90.4562202
S11,-0.698057134,-90.4562202
S13,-0.698057134,-90.4562202
S01,-0.7003667,-90.45608
S12,-0.7003667,-90.45608
S05,-0.7003667,-90.45608
S10,-0.7003667,-90.45608
S01,-0.7006333,-90.45587
S05,-0.7006333,-90.45587
S04,-0.7006333,-90.45587
S07,-0.7006333,-90.45587
S11,-0.7006333,-90.45587
S09,-0.700633144,-90.45586087
S09,-0.700633144,-90.45586087
S09,-0.700633144,-90.45586087
S09,-0.700633144,-90.45586087
S09,-0.700633144,-90.45586087
S09,-0.700633144,-90.45586087
S09,-0.700633144,-90.45586087
S09,-0.700633144,-90.45586087
S09,-0.700633144,-90.45586087
S14,-0.700633144,-90.45586087
S14,-0.700633144,-90.45586087
S14,-0.700633144,-90.45586087
S14,-0.700633144,-90.45586087
S14,-0.700633144,-90.45586087
S14,-0.700633144,-90.45586087
S14,-0.700633144,-90.45586087
S14,-0.700633144,-90.45586087
S14,-0.700633144,-90.45586087
S01,-0.700633144,-90.45586087
S01,-0.700633144,-90.45586087
S04,-0.701014688,-90.45584025
S03,-0.701014688,-90.45584025
S02,-0.697578024,-90.455653
S07,-0.697578024,-90.455653
S03,-0.697578024,-90.455653
S04,-0.697475178,-90.45559173
S04,-0.697475178,-90.45559173
S01,-0.697475178,-90.45559173
S04,-0.697475178,-90.45559173
S11,-0.697475178,-90.45559173
S13,-0.697475178,-90.45559173
S03,-0.697475178,-90.45559173
S14,-0.697475178,-90.45559173
S11,-0.697475178,-90.45559173
S07,-0.6229167,-90.45315
S05,-0.6229167,-90.45315
S01,-0.6229167,-90.45315
S07,-0.6229167,-90.45315
S07,-0.6229167,-90.45315
S07,-0.6229167,-90.45315
S07,-0.6229167,-90.45315
S07,-0.6229167,-90.45315
S07,-0.6229167,-90.45315
S07,-0.6229167,-90.45315
S07,-0.6229167,-90.45315
S07,-0.6229167,-90.45315
S07,-0.6229167,-90.45315
S07,-0.6229167,-90.45315
S07,-0.6229167,-90.45315
S07,-0.6235833,-90.4522167
S07,-0.613948843,-90.45036854
S02,-0.613948843,-90.45036854
S04,-0.613948843,-90.45036854
S07,-0.641398989,-90.45033401
S16,-0.641398989,-90.45033401
S02,-0.692795981,-90.44992698
S16,-0.692673018,-90.44990703
S02,-0.692673018,-90.44990703
S05,-0.692673018,-90.44990703
S05,-0.692653907,-90.4498041
S01,-0.692653907,-90.4498041
S13,-0.692653907,-90.4498041
S01,-0.692653907,-90.4498041
S01,-0.692653907,-90.4498041
S01,-0.692653907,-90.4498041
S01,-0.692653907,-90.4498041
S01,-0.692653907,-90.4498041
S01,-0.692653907,-90.4498041
S01,-0.692653907,-90.4498041
S01,-0.692653907,-90.4498041
S01,-0.692653907,-90.4498041
S01,-0.692653907,-90.4498041
S01,-0.692653907,-90.4498041
S01,-0.692653907,-90.4498041
S01,-0.692653907,-90.4498041
S01,-0.692653907,-90.4498041
S01,-0.692653907,-90.4498041
S01,-0.692653907,-90.4498041
S01,-0.692653907,-90.4498041
S01,-0.692653907,-90.4498041
S01,-0.692653907,-90.4498041
