Collection ID,Genus,Species,GenusSpecies,Latitude,Longitude,Elevation
SC 14 17,Naesiotus,wolfi,Naesiotus wolfi,-0.71155,-90.46068,73
SC 14 15,Naesiotus,wolfi,Naesiotus wolfi,-0.698057134,-90.4562202,141.1983643
SC 14 18,Naesiotus,wolfi,Naesiotus wolfi,-0.7003667,-90.45608,87
SC 2T20 816 shells,Naesiotus,wolfi,Naesiotus wolfi,-0.7006333,-90.45587,97
SC15-C-T20-4-1,Naesiotus,wolfi,Naesiotus wolfi,-0.700633144,-90.45586087,96.7376709
SC15-C-T20-4-2,Naesiotus,wolfi,Naesiotus wolfi,-0.700633144,-90.45586087,96.7376709
SC 14 14,Naesiotus,wolfi,Naesiotus wolfi,-0.697475178,-90.45559173,139.5158691
SC15-07,Naesiotus,wolfi,Naesiotus wolfi,-0.6229167,-90.45315,331
SC 14 13,Naesiotus,wolfi,Naesiotus wolfi,-0.692653907,-90.4498041,152.4936523
SC14 13 1 01,Naesiotus,wolfi,Naesiotus wolfi,-0.692653907,-90.4498041,152.4936523
SC14 13 1 02,Naesiotus,wolfi,Naesiotus wolfi,-0.692653907,-90.4498041,152.4936523
SC14 13 1 03,Naesiotus,wolfi,Naesiotus wolfi,-0.692653907,-90.4498041,152.4936523
SC14 13 1 04,Naesiotus,wolfi,Naesiotus wolfi,-0.692653907,-90.4498041,152.4936523
SC14 13 1 05,Naesiotus,wolfi,Naesiotus wolfi,-0.692653907,-90.4498041,152.4936523
SC14 13 1 06,Naesiotus,wolfi,Naesiotus wolfi,-0.692653907,-90.4498041,152.4936523
SC14 13 1 07,Naesiotus,wolfi,Naesiotus wolfi,-0.692653907,-90.4498041,152.4936523
SC14 13 1 08,Naesiotus,wolfi,Naesiotus wolfi,-0.692653907,-90.4498041,152.4936523
SC14 13 1 09,Naesiotus,wolfi,Naesiotus wolfi,-0.692653907,-90.4498041,152.4936523
SC14 13 1 10,Naesiotus,wolfi,Naesiotus wolfi,-0.692653907,-90.4498041,152.4936523
SC14 13 1 11,Naesiotus,wolfi,Naesiotus wolfi,-0.692653907,-90.4498041,152.4936523
SC14 13 1 12,Naesiotus,wolfi,Naesiotus wolfi,-0.692653907,-90.4498041,152.4936523
SC14 13 1 13,Naesiotus,wolfi,Naesiotus wolfi,-0.692653907,-90.4498041,152.4936523
SC14 13 1 14,Naesiotus,wolfi,Naesiotus wolfi,-0.692653907,-90.4498041,152.4936523
SC14 13 1 15,Naesiotus,wolfi,Naesiotus wolfi,-0.692653907,-90.4498041,152.4936523
SC14 13 1 16,Naesiotus,wolfi,Naesiotus wolfi,-0.692653907,-90.4498041,152.4936523
SC14 13 1 17,Naesiotus,wolfi,Naesiotus wolfi,-0.692653907,-90.4498041,152.4936523
SC14 13 1 18,Naesiotus,wolfi,Naesiotus wolfi,-0.692653907,-90.4498041,152.4936523
SC14 13 1 19,Naesiotus,wolfi,Naesiotus wolfi,-0.692653907,-90.4498041,152.4936523
SC14 13 1 20,Naesiotus,wolfi,Naesiotus wolfi,-0.692653907,-90.4498041,152.4936523
SC 14 12,Naesiotus,wolfi,Naesiotus wolfi,-0.69215904,-90.44935266,151.2919922
SC 14 11,Naesiotus,wolfi,Naesiotus wolfi,-0.69228502,-90.44847021,149.8500977
SC 14 10,Naesiotus,wolfi,Naesiotus wolfi,-0.691813957,-90.44613065,150.3306885
SC14 10 1 01,Naesiotus,wolfi,Naesiotus wolfi,-0.691813957,-90.44613065,150.3306885
SC14 10 1 02,Naesiotus,wolfi,Naesiotus wolfi,-0.691813957,-90.44613065,150.3306885
SC14 10 1 03,Naesiotus,wolfi,Naesiotus wolfi,-0.691813957,-90.44613065,150.3306885
SC14 10 1 04,Naesiotus,wolfi,Naesiotus wolfi,-0.691813957,-90.44613065,150.3306885
SC14 10 1 05,Naesiotus,wolfi,Naesiotus wolfi,-0.691813957,-90.44613065,150.3306885
SC14 10 1 06,Naesiotus,wolfi,Naesiotus wolfi,-0.691813957,-90.44613065,150.3306885
SC14 10 1 07,Naesiotus,wolfi,Naesiotus wolfi,-0.691813957,-90.44613065,150.3306885
SC14 10 1 08,Naesiotus,wolfi,Naesiotus wolfi,-0.691813957,-90.44613065,150.3306885
SC14 10 1 09,Naesiotus,wolfi,Naesiotus wolfi,-0.691813957,-90.44613065,150.3306885
SC14 10 1 10,Naesiotus,wolfi,Naesiotus wolfi,-0.691813957,-90.44613065,150.3306885
SC14 10 1 11,Naesiotus,wolfi,Naesiotus wolfi,-0.691813957,-90.44613065,150.3306885
SC14 10 1 12,Naesiotus,wolfi,Naesiotus wolfi,-0.691813957,-90.44613065,150.3306885
