Locality,Species,Latitude,Longitude
SC 14 15,Naesiotus n.sp. Yannickus,-0.698057134,-90.4562202
SC 14 14,Naesiotus n.sp. Yannickus,-0.697475178,-90.45559173
SC 14 06,Naesiotus n.sp. Yannickus,-0.656609042,-90.24629384
SC N KM 30 adserseni,Naesiotus n.sp. Yannickus,-0.567734,-90.33801
SC 03 34,Naesiotus n.sp. Yannickus,-0.6452333,-90.24925
SC 14 cueva cascajo,Naesiotus n.sp. Yannickus,-0.6639,-90.26247
SC 2T20 816 shells,Naesiotus n.sp. Yannickus,-0.7006333,-90.45587
SC02 T08,Naesiotus n.sp. Yannickus,-0.6755667,-90.23695
SC02 T08,Naesiotus n.sp. Yannickus,-0.6755667,-90.23695
SC02 T08,Naesiotus n.sp. Yannickus,-0.6755667,-90.23695
SC02 T08,Naesiotus n.sp. Yannickus,-0.6755667,-90.23695
