Species,Latitude,Longitude
Naesiotus cavagnaroi,-0.71155,-90.46068
Naesiotus wolfi,-0.71155,-90.46068
Naesiotus ochsneri,-0.71155,-90.46068
Naesiotus saeronius,-0.71155,-90.46068
Naesiotus hirsutus,-0.71155,-90.46068
Naesiotus reibischii,-0.71155,-90.46068
Naesiotus reibischii,-0.70910641,-90.45877224
Naesiotus hirsutus,-0.70910641,-90.45877224
Naesiotus cf. ochsneri,-0.70910641,-90.45877224
Naesiotus ochsneri,-0.7091,-90.45877
Naesiotus ochsneri,-0.7091,-90.45877
Naesiotus ochsneri,-0.7091,-90.45877
Naesiotus ochsneri,-0.7091,-90.45877
Naesiotus ochsneri,-0.7091,-90.45877
Naesiotus cf. ochsneri,-0.6163667,-90.4584667
Naesiotus reibischii,-0.6163667,-90.4584667
Naesiotus hirsutus,-0.6163667,-90.4584667
Naesiotus reibischii,-0.704825,-90.45831
Naesiotus ochsneri,-0.704825,-90.45831
Naesiotus n.sp.SC-2,-0.704825,-90.45831
Naesiotus ochsneri,-0.704825,-90.45831
Naesiotus ochsneri,-0.704825,-90.45831
Naesiotus ochsneri,-0.704825,-90.45831
Naesiotus ochsneri,-0.704825,-90.45831
Naesiotus ochsneri,-0.704825,-90.45831
Naesiotus ochsneri,-0.704825,-90.45831
Naesiotus ochsneri,-0.704825,-90.45831
Naesiotus ochsneri,-0.704825,-90.45831
Naesiotus ochsneri,-0.704825,-90.45831
Naesiotus ochsneri,-0.704825,-90.45831
Naesiotus ochsneri,-0.704825,-90.45831
Naesiotus ochsneri,-0.704825,-90.45831
Naesiotus cf. ochsneri,-0.6186,-90.4569833
Naesiotus ochsneri,-0.6186,-90.4569833
Naesiotus cf. ochsneri,-0.6186,-90.45698
Naesiotus cf. ochsneri,-0.6186,-90.45698
Naesiotus cf. ochsneri,-0.6186,-90.45698
Naesiotus cf. ochsneri,-0.6186,-90.45698
Naesiotus cf. ochsneri,-0.6186,-90.45698
Naesiotus cf. ochsneri,-0.6186,-90.45698
Naesiotus cf. ochsneri,-0.6186,-90.45698
Naesiotus wolfi,-0.698057134,-90.4562202
Naesiotus n.sp. Yannickus,-0.698057134,-90.4562202
Naesiotus n.sp.SC-3,-0.698057134,-90.4562202
Naesiotus wolfi,-0.7003667,-90.45608
Naesiotus n.sp.SC-2,-0.7003667,-90.45608
Naesiotus eos,-0.7003667,-90.45608
Naesiotus lycodus,-0.7003667,-90.45608
Naesiotus wolfi,-0.7006333,-90.45587
Naesiotus eos,-0.7006333,-90.45587
Naesiotus cf. ochsneri,-0.7006333,-90.45587
Naesiotus ochsneri,-0.7006333,-90.45587
Naesiotus n.sp. Yannickus,-0.7006333,-90.45587
Naesiotus akamatus,-0.700633144,-90.45586087
Naesiotus akamatus,-0.700633144,-90.45586087
Naesiotus akamatus,-0.700633144,-90.45586087
Naesiotus akamatus,-0.700633144,-90.45586087
Naesiotus akamatus,-0.700633144,-90.45586087
Naesiotus akamatus,-0.700633144,-90.45586087
