Collection ID,Genus,Species,GenusSpecies,Latitude,Longitude,Elevation (m)
SC 14 17,Naesiotus,cavagnaroi,Naesiotus cavagnaroi,-0.71155,-90.46068,73
SC 14 17,Naesiotus,hirsutus,Naesiotus hirsutus,-0.71155,-90.46068,73
SC 14 17,Naesiotus,ochsneri,Naesiotus ochsneri,-0.71155,-90.46068,73
SC 14 17,Naesiotus,reibischii,Naesiotus reibischii,-0.71155,-90.46068,73
SC 14 17,Naesiotus,saeronius,Naesiotus saeronius,-0.71155,-90.46068,73
SC 14 17,Naesiotus,wolfi,Naesiotus wolfi,-0.71155,-90.46068,73
SC 14 16,Naesiotus,cf. ochsneri,Naesiotus cf. ochsneri,-0.70910641,-90.45877224,81.11633301
SC 14 16,Naesiotus,hirsutus,Naesiotus hirsutus,-0.70910641,-90.45877224,81.11633301
SC 14 16,Naesiotus,reibischii,Naesiotus reibischii,-0.70910641,-90.45877224,81.11633301
SC14 16 1 01 xray,Naesiotus,ochsneri,Naesiotus ochsneri,-0.7091,-90.45877,81
SC14 16 1 04 xray,Naesiotus,ochsneri,Naesiotus ochsneri,-0.7091,-90.45877,81
SC14 16 1 05 xray,Naesiotus,ochsneri,Naesiotus ochsneri,-0.7091,-90.45877,81
SC14 16 1 06 xray,Naesiotus,ochsneri,Naesiotus ochsneri,-0.7091,-90.45877,81
SC14 16 1 07 xray,Naesiotus,ochsneri,Naesiotus ochsneri,-0.7091,-90.45877,81
SC15-10,Naesiotus,cf. ochsneri,Naesiotus cf. ochsneri,-0.6163667,-90.4584667,290
SC15-10,Naesiotus,hirsutus,Naesiotus hirsutus,-0.6163667,-90.4584667,290
SC15-10,Naesiotus,reibischii,Naesiotus reibischii,-0.6163667,-90.4584667,290
SC 14 n of 16,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.704825,-90.45831,
SC 14 n of 16,Naesiotus,ochsneri,Naesiotus ochsneri,-0.704825,-90.45831,
SC14 N16 1 01 xray,Naesiotus,ochsneri,Naesiotus ochsneri,-0.704825,-90.45831,
SC14 N16 1 01 xray,Naesiotus,ochsneri,Naesiotus ochsneri,-0.704825,-90.45831,
SC14 N16 1 02 xray,Naesiotus,ochsneri,Naesiotus ochsneri,-0.704825,-90.45831,
SC14 N16 1 02 xray,Naesiotus,ochsneri,Naesiotus ochsneri,-0.704825,-90.45831,
SC14 N16 1 03 xray,Naesiotus,ochsneri,Naesiotus ochsneri,-0.704825,-90.45831,
SC14 N16 1 03 xray,Naesiotus,ochsneri,Naesiotus ochsneri,-0.704825,-90.45831,
SC14 N16 1 04 xray,Naesiotus,ochsneri,Naesiotus ochsneri,-0.704825,-90.45831,
SC14 N16 1 04 xray,Naesiotus,ochsneri,Naesiotus ochsneri,-0.704825,-90.45831,
SC14 N16 1 05 xray,Naesiotus,ochsneri,Naesiotus ochsneri,-0.704825,-90.45831,
SC14 N16 1 05 xray,Naesiotus,ochsneri,Naesiotus ochsneri,-0.704825,-90.45831,
SC14 N16 1 06 xray,Naesiotus,ochsneri,Naesiotus ochsneri,-0.704825,-90.45831,
SC14 N16 1 06 xray,Naesiotus,ochsneri,Naesiotus ochsneri,-0.704825,-90.45831,
SC 14 n of 16,Naesiotus,reibischii,Naesiotus reibischii,-0.704825,-90.45831,
SC15-09,Naesiotus,cf. ochsneri,Naesiotus cf. ochsneri,-0.6186,-90.4569833,303
SC15-09,Naesiotus,ochsneri,Naesiotus ochsneri,-0.6186,-90.4569833,303
SC15 09 01 08 xray,Naesiotus,cf. ochsneri,Naesiotus cf. ochsneri,-0.6186,-90.45698,303
SC15 09 01 09 xray,Naesiotus,cf. ochsneri,Naesiotus cf. ochsneri,-0.6186,-90.45698,303
SC15 09 01 10 xray,Naesiotus,cf. ochsneri,Naesiotus cf. ochsneri,-0.6186,-90.45698,303
SC15 09 01 11 xray,Naesiotus,cf. ochsneri,Naesiotus cf. ochsneri,-0.6186,-90.45698,303
SC15 09 01 12 xray,Naesiotus,cf. ochsneri,Naesiotus cf. ochsneri,-0.6186,-90.45698,303
SC15 09 01 13 xray,Naesiotus,cf. ochsneri,Naesiotus cf. ochsneri,-0.6186,-90.45698,303
SC15 09 01 14 xray,Naesiotus,cf. ochsneri,Naesiotus cf. ochsneri,-0.6186,-90.45698,303
SC 14 15,Naesiotus,n.sp. Yannickus,Naesiotus n.sp. Yannickus,-0.698057134,-90.4562202,141.1983643
SC 14 15,Naesiotus,n.sp.SC-3,Naesiotus n.sp.SC-3,-0.698057134,-90.4562202,141.1983643
SC 14 15,Naesiotus,wolfi,Naesiotus wolfi,-0.698057134,-90.4562202,141.1983643
SC 14 18,Naesiotus,eos,Naesiotus eos,-0.7003667,-90.45608,87
SC 14 18,Naesiotus,lycodus,Naesiotus lycodus,-0.7003667,-90.45608,87
SC 14 18,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.7003667,-90.45608,87
SC 14 18,Naesiotus,wolfi,Naesiotus wolfi,-0.7003667,-90.45608,87
SC 2T20 816 shells,Naesiotus,cf. ochsneri,Naesiotus cf. ochsneri,-0.7006333,-90.45587,97
SC 2T20 816 shells,Naesiotus,eos,Naesiotus eos,-0.7006333,-90.45587,97
SC 2T20 816 shells,Naesiotus,n.sp. Yannickus,Naesiotus n.sp. Yannickus,-0.7006333,-90.45587,97
SC 2T20 816 shells,Naesiotus,ochsneri,Naesiotus ochsneri,-0.7006333,-90.45587,97
SC 2T20 816 shells,Naesiotus,wolfi,Naesiotus wolfi,-0.7006333,-90.45587,97
SC15-C-T20-2-1,Naesiotus,akamatus,Naesiotus akamatus,-0.700633144,-90.45586087,96.7376709
SC15-C-T20-2-2,Naesiotus,akamatus,Naesiotus akamatus,-0.700633144,-90.45586087,96.7376709
SC15-C-T20-2-3,Naesiotus,akamatus,Naesiotus akamatus,-0.700633144,-90.45586087,96.7376709
SC15-C-T20-2-4,Naesiotus,akamatus,Naesiotus akamatus,-0.700633144,-90.45586087,96.7376709
SC15-C-T20-2-5,Naesiotus,akamatus,Naesiotus akamatus,-0.700633144,-90.45586087,96.7376709
SC15-C-T20-2-6,Naesiotus,akamatus,Naesiotus akamatus,-0.700633144,-90.45586087,96.7376709
SC15-C-T20-2-7,Naesiotus,akamatus,Naesiotus akamatus,-0.700633144,-90.45586087,96.7376709
SC15-C-T20-2-8,Naesiotus,akamatus,Naesiotus akamatus,-0.700633144,-90.45586087,96.7376709
SC15-C-T20-2-9,Naesiotus,akamatus,Naesiotus akamatus,-0.700633144,-90.45586087,96.7376709
